id	region_id	timestamp	type	participants	vehicles	victims	fatalities	city	street	house	road	km	m	places	problems	reasons
193935389	80512	2016-05-24 16:00:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул Загорская	10				Внутридворовая территория		Водитель: Несоблюдение условий, разрешающих движение транспорта задним ходом
193505575	80512	2016-05-24 22:40:00	Столкновение	4	2	3	0	г Волгоград	ул Лазоревая	219				Регулируемый перекресток	Отсутствие, плохая различимость горизонтальной разметки проезжей части; Нарушения в размещении наружной рекламы	Водитель: Нарушение требований сигналов светофора
193505576	80512	2016-05-24 21:15:00	Опрокидывание	1	1	1	0	г Волгоград	ул 64 Армии	58				Перегон (нет объектов на месте ДТП)	Дефекты покрытия	Водитель: Другие нарушения ПДД водителем
193505866	80512	2016-05-24 20:20:00	Столкновение	3	2	3	0	г Волгоград	ш Авиаторов	1				Нерегулируемый перекрёсток равнозначных улиц (дорог)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Несоблюдение очередности проезда
193505985	80512	2016-05-24 12:00:00	Столкновение	2	2	2	0	г Волгоград	пр-кт Университетский	17				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части; Нарушения в размещении наружной рекламы	Водитель: Нарушение правил перестроения
193505865	80512	2016-05-24 20:45:00	Наезд на препятствие	2	1	0	2	г Волгоград	ул Лимоновая	35				Перегон (нет объектов на месте ДТП)	Дефекты покрытия; Отсутствие дорожных знаков в необходимых местах	Водитель: Другие нарушения ПДД водителем
194443052	80512	2016-05-23 14:20:00	Столкновение	3	3	1	0	г Волгоград	пр-кт Университетский	0				Нерегулируемый пешеходный переход	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Неправильный выбор дистанции
193506031	80512	2016-05-23 17:20:00	Наезд на препятствие	3	2	2	0	г Волгоград	ул Электролесовская	15				Остановка общественного транспорта	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Другие нарушения ПДД водителем
194433185	80512	2016-05-23 11:00:00	Столкновение	2	2	1	0	г Волгоград	б-р 30-летия Победы	0				Нерегулируемый перекрёсток равнозначных улиц (дорог)		Водитель: Несоблюдение очередности проезда
193749277	80512	2016-05-23 00:40:00	Столкновение	2	2	1	0	г Волгоград	ул Рабоче-Крестьянская	4				Перегон (нет объектов на месте ДТП)		Водитель: Другие нарушения ПДД водителем
194427349	80512	2016-05-22 21:30:00	Столкновение	2	2	1	0	г Волгоград	ул 64 Армии	42				Иное место		Водитель: Другие нарушения ПДД водителем
193573366	80512	2016-05-22 09:00:00	Наезд на пешехода	2	1	0	1	г Волгоград	ул Волгоградская	184А				Нерегулируемый перекрёсток равнозначных улиц (дорог)	Дефекты покрытия; Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие дорожных знаков в необходимых местах; Неправильное применение, плохая видимость дорожных знаков	Пешеход: Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода
193483822	80512	2016-05-22 20:00:00	Столкновение	2	2	1	0	г Волгоград	ул им Константина Симонова	22				Выезд с прилегающей территории		Водитель: Несоблюдение очередности проезда
193729411	80512	2016-05-22 15:25:00	Столкновение	3	2	1	0	г Волгоград	ул Череповецкая	129				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Несоблюдение очередности проезда
